"Date","Price","Open","High","Low","Vol.","Change %"
"09/04/2019","34,578.00","34,578.00","34,578.00","34,578.00","0.01K","2.96%"
"09/03/2019","33,584.00","33,584.00","33,584.00","33,584.00","","-0.02%"
"09/02/2019","33,590.00","33,590.00","33,590.00","33,590.00","","4.20%"
"08/30/2019","32,235.00","32,235.00","32,235.00","32,235.00","","0.00%"
"08/29/2019","32,235.00","32,235.00","32,235.00","32,235.00","","0.00%"
"08/28/2019","32,235.00","32,235.00","32,235.00","32,235.00","","-0.03%"
"08/27/2019","32,246.00","32,246.00","32,246.00","32,246.00","","-0.08%"
"08/23/2019","32,273.00","32,273.00","32,273.00","32,273.00","","0.00%"
"08/22/2019","32,273.00","32,273.00","32,273.00","32,273.00","0.00K","-0.02%"
"08/21/2019","32,278.00","32,278.00","32,278.00","32,278.00","","-0.02%"
"08/20/2019","32,283.00","32,283.00","32,283.00","32,283.00","","0.52%"
"08/19/2019","32,117.50","32,117.50","32,117.50","32,117.50","0.02K","-0.06%"
"08/16/2019","32,135.50","32,135.50","32,135.50","32,135.50","","0.00%"
"08/15/2019","32,135.50","32,135.50","32,135.50","32,135.50","0.01K","6.98%"
"08/14/2019","30,040.00","30,040.00","30,040.00","30,040.00","0.31K","-0.01%"
"08/13/2019","30,044.00","30,044.00","30,044.00","30,044.00","","-3.23%"
"08/12/2019","31,048.00","31,048.00","31,048.00","31,048.00","","10.63%"
"08/09/2019","28,065.50","28,065.50","28,065.50","28,065.50","","0.00%"
"08/08/2019","28,065.50","28,065.50","28,065.50","28,065.50","","0.70%"
"08/07/2019","27,870.00","27,870.00","27,870.00","27,870.00","","-0.02%"
"08/06/2019","27,875.00","27,875.00","27,875.00","27,875.00","","8.70%"
"08/05/2019","25,644.50","25,644.50","25,644.50","25,644.50","","-0.07%"
"08/02/2019","25,662.00","25,662.00","25,662.00","25,662.00","","0.00%"
"08/01/2019","25,662.00","25,662.00","25,662.00","25,662.00","","-0.02%"
"07/31/2019","25,666.00","25,666.00","25,666.00","25,666.00","","-0.02%"
"07/30/2019","25,670.00","25,670.00","25,670.00","25,670.00","","-0.02%"
"07/29/2019","25,674.00","25,674.00","25,674.00","25,674.00","","-0.07%"
"07/26/2019","25,691.00","25,691.00","25,691.00","25,691.00","","-7.22%"
"07/25/2019","27,691.00","27,691.00","27,691.00","27,691.00","0.05K","-0.01%"
"07/24/2019","27,695.00","27,695.00","27,695.00","27,695.00","","-0.01%"
"07/23/2019","27,699.00","27,699.00","27,699.00","27,699.00","","-0.01%"
"07/22/2019","27,703.00","27,703.00","27,703.00","27,703.00","","-0.06%"
"07/19/2019","27,721.00","27,721.00","27,721.00","27,721.00","","0.00%"
"07/18/2019","27,721.00","27,721.00","27,721.00","27,721.00","","-0.01%"
"07/17/2019","27,725.00","27,725.00","27,725.00","27,725.00","0.06K","-0.01%"
"07/16/2019","27,729.00","27,729.00","27,729.00","27,729.00","","0.53%"
"07/15/2019","27,584.00","27,584.00","27,584.00","27,584.00","0.01K","3.49%"
"07/12/2019","26,654.00","26,654.00","26,654.00","26,654.00","0.02K","-0.02%"
"07/11/2019","26,658.00","26,658.00","26,658.00","26,658.00","0.01K","-0.03%"
"07/10/2019","26,665.00","26,665.00","26,665.00","26,665.00","","0.00%"
"07/09/2019","26,664.00","26,664.00","26,664.00","26,664.00","0.31K","-6.83%"
"07/08/2019","28,620.00","28,620.00","28,620.00","28,620.00","","-0.02%"
"07/05/2019","28,625.00","28,625.00","28,625.00","28,625.00","","-0.02%"
"07/04/2019","28,630.00","28,630.00","28,630.00","28,630.00","","-0.03%"
"07/03/2019","28,640.00","28,640.00","28,640.00","28,640.00","","0.00%"
"07/02/2019","28,640.00","28,640.00","28,640.00","28,640.00","","-0.02%"
"07/01/2019","28,645.00","28,645.00","28,645.00","28,645.00","","-0.02%"
"06/28/2019","28,650.00","28,650.00","28,650.00","28,650.00","","-0.42%"
"06/27/2019","28,770.00","28,770.00","28,770.00","28,770.00","","3.17%"
