"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","traceability","qualification","childunder15","childunder15work","project"
"1871","codmine02537","Avu 2",2015-10-23,"Ituri",138,"No data","No data","Or",NA,NA,"None observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines","DGRPO","Energie","No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1872","codmine02538","Barc elila mela",2015-11-15,"Sud-Kivu",15,"No data","No data","Or",NA,NA,"None observed","Observed","FARDC","Permanent",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1873","codmine02539","Camp 26",2017-04-27,"Maniema",75,"More than 2h walk","No data","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE",NA,"Division des mines","PNC","iTSCI","None","No data",NA,"IPIS - IOM 2016-2018"
"1874","codmine02540","Cinquantenaire/Kabendja",2015-11-02,"Maniema",64,"No data","No data","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","DGRMA",NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1875","codmine02541","Cololac",2022-02-26,"Maniema",140,"More than 2h walk","More than 2h walk","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,"ANR","iTSCI","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - USAID"
"1876","codmine02542","Dieudonné",2015-10-24,"Ituri",150,"No data","No data","Or",NA,NA,"None observed","Observed","FARDC","Une fois par semaine","FRPI","Brusquement",NA,NA,"SAEMAPE","Division des mines","DGRPO","Energie","No traceability program","None","Observed",NA,"IPIS - IOM PROMINES 2015"
"1877","codmine02543","Dilolo",2015-10-26,"Maniema",60,"No data","No data","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1878","codmine02544","Drainage 9",2015-10-28,"Maniema",55,"No data","No data","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1879","codmine02549","Eyumbe-Mika",2018-12-12,"Maniema",84,"More than 2h walk","No data","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Lavage, Creuser","IPIS - IOM 2016-2018"
"1880","codmine02550","G15",2015-11-05,"Sud-Kivu",1000,"No data","No data","Or",NA,NA,"None observed","None observed","FARDC","Permanent",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1881","codmine02552","G8 nord",2015-11-12,"Sud-Kivu",55,"No data","No data","Or",NA,NA,"None observed","None observed","FARDC","Permanent",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1882","codmine02553","Idje",2015-10-31,"Ituri",25,"No data","No data","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1883","codmine02554","Idze",2015-10-29,"Ituri",32,"No data","No data","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1884","codmine02555","Ila",2015-10-29,"Ituri",75,"No data","No data","Or",NA,NA,"None observed","None observed","FARDC","Rarement",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1885","codmine02556","Ila 2",2015-10-29,"Ituri",66,"No data","No data","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1886","codmine02557","Jembene",2015-10-23,"Ituri",25,"No data","No data","Or",NA,NA,"None observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1887","codmine02558","Kabereke",2021-11-27,"Sud-Kivu",50,"More than 2h walk","More than 2h walk","Cassitérite","Coltan",NA,"No data","Observed","Maï-Maï Inconnu","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"1888","codmine02559","Kalingi mazozo",2015-11-19,"Sud-Kivu",80,"No data","No data","Or",NA,NA,"None observed","Observed","FARDC","Permanent",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1889","codmine02560","Kassa",2015-11-18,"Sud-Kivu",40,"No data","No data","Or",NA,NA,"None observed","Observed","FARDC","Permanent",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1890","codmine02561","Keleke Ngba",2015-10-30,"Ituri",55,"No data","No data","Or",NA,NA,"None observed","Observed","FRPI","Permanent",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1891","codmine02562","Kibanguma",2017-08-19,"Maniema",125,"Less than 2h walk","No data","Diamant",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","No data",NA,"IPIS - IOM 2016-2018"
"1892","codmine02564","Kimbangu",2021-11-10,"Tshopo",0,"No data","No data","Or",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - USAID"
"1893","codmine02565","Kipe yayo",2021-11-04,"Tshopo",8,"More than 2h walk","More than 2h walk","Or","Diamant",NA,"None observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Secteur",NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
